epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.24939045310020447,0.0010000000474974513,7.64683723449707,0.16826337575912476,9.788552284240723
1,0.3137408494949341,0.0010000000474974513,2.221001148223877,0.2849677801132202,5.123481750488281
2,0.35732322931289673,0.0010000000474974513,1.8812575340270996,0.19665563106536865,2.3668723106384277
3,0.3788314163684845,0.0010000000474974513,1.7430822849273682,0.3448876440525055,2.338650703430176
4,0.4000348448753357,0.0010000000474974513,1.6931217908859253,0.4387737214565277,1.5911657810211182
5,0.41640543937683105,0.0010000000474974513,1.6601359844207764,0.4621146023273468,1.5554150342941284
6,0.435301274061203,0.0010000000474974513,1.6283122301101685,0.33304300904273987,1.8265252113342285
7,0.449582040309906,0.0010000000474974513,1.6122424602508545,0.433896541595459,1.7149238586425781
8,0.4583333432674408,0.0010000000474974513,1.5731794834136963,0.4621146023273468,1.5479966402053833
9,0.46939221024513245,0.0010000000474974513,1.5236467123031616,0.48998433351516724,1.4509817361831665
